l7GQ-fR-DsA	tea
Brqv7-rpdTQ	teach
Qy_q0sAucuw	teacher
kqc7eglNJvE	team (sign 1)
0REGTy6eqSc	team (sign 2)
ie88hOTzHTk	technician (sign 1)
ZUL1-j2VL6w	technician (sign 2)
nbJBh7lzl30	taxi
IATnhKazi7g	technology
J0Jx4BIuGn0	television
iu7j255lYQU	Telugu
TjSYqjfk-lc	temperature (meaning) (sign 1)
mxOt9rKB_ak	temperature (meaning) (sign 2)
TJeHXGVDCms	temperature
rAUcd8-2e3Y	temple
vJy28p55lkQ	temporary (sign 1)
Ujw6xa-mmZM	temporary (sign 2)
S0nGLXH4H5Y	tennis
i-W0qokTIeM	mechanic (sign 1)
FhgAT_pNTIE	meat (sign 2)
eBn_I264LVs	measurement
WNcSoq9M-FU	maximum
4imVoSmU5vc	Mauritius
f--3Qilcxvs	maternal aunt
naUuqfBUvU8	material (sign 2)
z7fqi4_fZvI	material (sign 1)
Lj9L7fUElLE	match (competition, sports)
7vVeFsNN7uA	mason
975SGXvNf0M	Mary, Virgin Mary
Ov-hdZ4oacg	marry, wed
U4dnLRpeTN8	12 twelve
eSFyfkFVTIU	10 ten
4tKpSwmWzRc	10,000 ten thousand
QXQ8ILhehkI	13 thirteen
2iWRUv6eMls	20 twenty
6wXGUZtHp5w	21 twenty one
LOJcAGPKq50	30 thirty
esXJDDt2w7s	tabla
-pH80nLq8FY	table tennis
YQflbkaOx2g	table, desk
DDusbrXIyaA	tailor (sign 1)
Sh3P9rHIKOM	3 three
b_TvDsf97GY	2,000 two thousand
MhHOduyqKv4	2 two
46EMlBxuYAU	tailor (sign 2)
UNNkbxYzexA	Taiwan
DD9K1ojKj_k	Taj Hotel
lL9bFfJ9t9E	Taj Mahal
Ah8zB8BQYek	take a bath
KmyrsfHCcPI	take a long time at something (example)
q0NQtFrQljs	take a long time at something, take hours at something
_erfAmrdyIM	take a photo
Cw13fIyVSNA	take
vYPkgKmRa6k	talk, chat
63LBwsyLl5s	tall sign 1
BvOKe8KiGPU	tall (sign 2)
QF_QXmNelLk	tall (sign 3)
fJyBgRTcBhA	tall (sign 4)
HCLav_Tthvk	Tamil (sign 1)
wMlY1TQZA2A	Tamil (sign 2)
ejX8KhT7JRY	Tanzania
1Mh8DMTca88	tap, call
IGR8WsvfoXs	tap
tq85NQ0vOkA	tape
p_jV4LqTBws	taste
qTKpCqiDQZI	TATA Car
816BojVf1nk	TATA Mobile
Srl_Gk0vjLE	tattoo, inked
RGDTXsCvZBQ	1,000 thousand
eDr6D34kmcU	vote
gjpsKc4rYEM	volleyball
tkO1_qURjXM	volume
1iqG_Rkp7f0	Volkswagen (sign 2)
ObwZnI075E8	melt (candle) (sign 1)
0msmxYxchSc	meditate
tm_qJX6hHFg	voice
bh3kxVL3EWA	volcano (sign 1)
qriQ0SvqUq0	volcano (sign 2)
_5ISkq46e4U	Volkswagen (sign 1)
IioAwnwu91s	Mali
pHgHQOTWz-U	many, numerous
2lPUKkvlZvE	mean (sign 2)
VRhdtFEOlXs	man
